transaction_id,merchant_id,payer_id,paid_at,amount_usd,payment_method
txn0000547,mid00045,pid0581,2022-01-01,357.40,12
txn0000962,mid00080,pid0253,2022-01-01,6451.28,12
txn0001712,mid00145,pid0006,2022-01-01,6277.42,12
txn0003260,mid00243,pid0312,2022-01-01,5241.54,12
txn0003369,mid00250,pid0180,2022-01-01,5668.46,12
txn0004062,mid00296,pid0455,2022-01-01,14034.11,12
txn0004336,mid00314,pid0225,2022-01-01,4127.20,12
txn0004663,mid00324,pid0118,2022-01-01,14162.03,12
txn0005062,mid00344,pid0368,2022-01-01,9999.84,12
txn0005065,mid00344,pid0368,2022-01-01,12414.33,12
txn0005250,mid00354,pid0135,2022-01-01,8177.93,12
txn0005532,mid00370,pid0565,2022-01-01,13996.63,12
txn0000891,mid00072,pid0570,2022-01-02,3839.18,12
txn0000908,mid00073,pid0195,2022-01-02,4936.14,12
txn0001682,mid00143,pid0200,2022-01-02,2186.32,12
txn0001797,mid00152,pid0457,2022-01-02,10531.41,12
txn0002170,mid00178,pid0359,2022-01-02,606.50,12
txn0002198,mid00182,pid0118,2022-01-02,1805.99,12
txn0002336,mid00190,pid0043,2022-01-02,7915.82,12
txn0002726,mid00203,pid0283,2022-01-02,3894.47,12
txn0003866,mid00280,pid0393,2022-01-02,388.24,12
txn0003999,mid00291,pid0642,2022-01-02,14136.28,12
txn0004578,mid00322,pid0169,2022-01-02,11507.20,12
txn0004615,mid00323,pid0494,2022-01-02,7394.94,12
txn0004764,mid00330,pid0381,2022-01-02,10272.17,12
txn0005252,mid00354,pid0135,2022-01-02,13486.42,12
txn0005259,mid00355,pid0244,2022-01-02,4713.49,12
txn0005392,mid00363,pid0437,2022-01-02,4792.57,12
txn0000373,mid00029,pid0439,2022-01-03,2585.14,12
txn0000564,mid00047,pid0676,2022-01-03,1171.85,12
txn0000745,mid00066,pid0454,2022-01-03,5293.47,12
txn0000959,mid00079,pid0414,2022-01-03,15535.01,12
txn0001779,mid00149,pid0544,2022-01-03,5059.66,12
txn0001798,mid00152,pid0457,2022-01-03,10260.68,12
txn0004228,mid00303,pid0261,2022-01-03,6341.86,12
txn0004856,mid00332,pid0336,2022-01-03,10179.82,12
txn0005155,mid00348,pid0579,2022-01-03,12867.00,12
txn0000955,mid00079,pid0414,2022-01-04,8114.12,12
txn0001147,mid00098,pid0284,2022-01-04,798.63,12
txn0001246,mid00106,pid0683,2022-01-04,1637.47,12
txn0001406,mid00119,pid0119,2022-01-04,13245.76,12
txn0002328,mid00189,pid0615,2022-01-04,1050.38,12
txn0003230,mid00241,pid0315,2022-01-04,1230.14,12
txn0003618,mid00268,pid0158,2022-01-04,438.78,12
txn0004397,mid00317,pid0662,2022-01-04,15630.33,12
txn0005307,mid00360,pid0045,2022-01-04,13867.53,12
txn0005531,mid00370,pid0565,2022-01-04,5012.67,12
txn0005690,mid00377,pid0134,2022-01-04,3627.11,12
txn0005985,mid00391,pid0649,2022-01-04,426.05,12
txn0000956,mid00079,pid0414,2022-01-05,9923.40,12
txn0001024,mid00086,pid0075,2022-01-05,3643.03,12
txn0001614,mid00135,pid0477,2022-01-05,3535.57,12
txn0001765,mid00148,pid0468,2022-01-05,12929.63,12
txn0001856,mid00157,pid0344,2022-01-05,1243.15,12
txn0003113,mid00230,pid0625,2022-01-05,3250.27,12
txn0003435,mid00254,pid0165,2022-01-05,1165.48,12
txn0003824,mid00277,pid0458,2022-01-05,8644.55,12
txn0004013,mid00293,pid0647,2022-01-05,469.47,12
txn0004254,mid00305,pid0076,2022-01-05,1912.66,12
txn0004337,mid00314,pid0225,2022-01-05,8943.10,12
txn0004667,mid00324,pid0118,2022-01-05,12596.87,12
txn0005196,mid00352,pid0149,2022-01-05,11774.49,12
txn0005308,mid00360,pid0045,2022-01-05,14985.43,12
txn0005317,mid00361,pid0675,2022-01-05,15144.22,12
txn0005776,mid00381,pid0615,2022-01-05,3518.91,12
txn0005845,mid00384,pid0377,2022-01-05,12375.41,12
txn0001193,mid00103,pid0597,2022-01-06,13938.75,12
txn0001580,mid00132,pid0179,2022-01-06,1884.04,12
txn0001764,mid00148,pid0468,2022-01-06,6777.28,12
txn0001789,mid00150,pid0454,2022-01-06,760.24,12
txn0001813,mid00155,pid0497,2022-01-06,1642.53,12
txn0001968,mid00168,pid0685,2022-01-06,631.44,12
txn0002804,mid00207,pid0018,2022-01-06,5531.80,12
txn0003061,mid00227,pid0232,2022-01-06,2372.24,12
txn0003789,mid00276,pid0594,2022-01-06,4718.46,12
txn0003825,mid00277,pid0458,2022-01-06,14048.49,12
txn0004002,mid00291,pid0642,2022-01-06,13226.51,12
txn0004259,mid00306,pid0307,2022-01-06,5399.96,12
txn0004394,mid00317,pid0662,2022-01-06,14515.49,12
txn0004941,mid00340,pid0631,2022-01-06,7075.18,12
txn0005033,mid00341,pid0034,2022-01-06,12631.17,12
txn0005154,mid00348,pid0579,2022-01-06,7861.95,12
txn0005476,mid00365,pid0623,2022-01-06,1102.51,12
txn0000147,mid00013,pid0644,2022-01-07,1159.81,12
txn0001087,mid00088,pid0519,2022-01-07,1293.37,12
txn0001271,mid00107,pid0417,2022-01-07,6360.33,12
txn0002258,mid00184,pid0118,2022-01-07,2537.46,12
txn0002288,mid00186,pid0385,2022-01-07,3060.81,12
txn0002407,mid00194,pid0471,2022-01-07,5562.34,12
txn0002853,mid00213,pid0190,2022-01-07,2056.10,12
txn0002854,mid00213,pid0190,2022-01-07,3303.50,12
txn0002928,mid00219,pid0130,2022-01-07,3406.24,12
txn0003136,mid00231,pid0213,2022-01-07,4353.61,12
txn0004335,mid00312,pid0051,2022-01-07,15455.50,12
txn0004396,mid00317,pid0662,2022-01-07,11190.97,12
txn0004528,mid00319,pid0093,2022-01-07,5005.83,12
txn0004692,mid00326,pid0407,2022-01-07,5786.68,12
txn0004939,mid00340,pid0631,2022-01-07,6340.37,12
txn0004942,mid00340,pid0631,2022-01-07,10482.07,12
txn0005489,mid00366,pid0640,2022-01-07,617.05,12
txn0005772,mid00381,pid0615,2022-01-07,14170.16,12
txn0005775,mid00381,pid0615,2022-01-07,11037.07,12
txn0000323,mid00024,pid0324,2022-01-08,14462.78,12
txn0000480,mid00042,pid0001,2022-01-08,15450.54,12
txn0000642,mid00055,pid0033,2022-01-08,1238.48,12
txn0000666,mid00058,pid0591,2022-01-08,7545.72,12
txn0001136,mid00094,pid0567,2022-01-08,5158.94,12
txn0001192,mid00103,pid0597,2022-01-08,15552.46,12
txn0001613,mid00135,pid0477,2022-01-08,5988.71,12
txn0001895,mid00161,pid0064,2022-01-08,5851.60,12
txn0002124,mid00176,pid0432,2022-01-08,10526.04,12
txn0002191,mid00180,pid0254,2022-01-08,314.92,12
txn0002334,mid00190,pid0043,2022-01-08,7604.48,12
txn0004273,mid00308,pid0495,2022-01-08,15434.90,12
txn0005949,mid00388,pid0274,2022-01-08,4993.13,12
txn0000398,mid00033,pid0391,2022-01-09,1243.95,12
txn0000961,mid00080,pid0253,2022-01-09,6634.26,12
txn0000974,mid00081,pid0084,2022-01-09,484.19,12
txn0001057,mid00087,pid0577,2022-01-09,1932.63,12
txn0001172,mid00100,pid0453,2022-01-09,484.78,12
txn0001537,mid00128,pid0128,2022-01-09,990.90,12
txn0001796,mid00152,pid0457,2022-01-09,6569.61,12
txn0003444,mid00255,pid0296,2022-01-09,3026.29,12
txn0003488,mid00258,pid0414,2022-01-09,4850.90,12
txn0003764,mid00275,pid0274,2022-01-09,6338.87,12
txn0004614,mid00323,pid0494,2022-01-09,4307.74,12
txn0005309,mid00360,pid0045,2022-01-09,13780.97,12
txn0005318,mid00361,pid0675,2022-01-09,6198.94,12
txn0006114,mid00401,pid0316,2022-01-09,1215.92,12
txn0007019,mid00453,pid0498,2022-01-09,9980.83,12
txn0000714,mid00064,pid0460,2022-01-10,1223.93,12
txn0001056,mid00087,pid0577,2022-01-10,4951.54,12
txn0001191,mid00103,pid0597,2022-01-10,13543.55,12
txn0001270,mid00107,pid0417,2022-01-10,3677.07,12
txn0001525,mid00127,pid0681,2022-01-10,1255.69,12
txn0003041,mid00225,pid0312,2022-01-10,7632.96,12
txn0003370,mid00250,pid0180,2022-01-10,4805.34,12
txn0003912,mid00284,pid0130,2022-01-10,9578.63,12
txn0003914,mid00284,pid0130,2022-01-10,15752.10,12
txn0004174,mid00298,pid0301,2022-01-10,4337.94,12
txn0004334,mid00312,pid0051,2022-01-10,4343.61,12
txn0004719,mid00328,pid0466,2022-01-10,2572.64,12
txn0005063,mid00344,pid0368,2022-01-10,10469.14,12
txn0005273,mid00356,pid0272,2022-01-10,709.71,12
txn0005394,mid00363,pid0437,2022-01-10,14137.62,12
txn0005562,mid00374,pid0384,2022-01-10,4600.76,12
txn0005582,mid00375,pid0069,2022-01-10,9192.06,12
txn0005715,mid00379,pid0421,2022-01-10,5688.74,12
txn0000027,mid00003,pid0090,2022-01-11,13115.83,12
txn0000087,mid00007,pid0285,2022-01-11,1218.15,12
txn0000419,mid00035,pid0699,2022-01-11,1619.59,12
txn0001468,mid00122,pid0621,2022-01-11,1157.15,12
txn0001586,mid00133,pid0562,2022-01-11,463.83,12
txn0001766,mid00148,pid0468,2022-01-11,8833.66,12
txn0002001,mid00173,pid0187,2022-01-11,11707.94,12
txn0002610,mid00200,pid0345,2022-01-11,5703.63,12
txn0002727,mid00203,pid0283,2022-01-11,8181.16,12
txn0002791,mid00206,pid0488,2022-01-11,507.55,12
txn0002889,mid00215,pid0538,2022-01-11,9824.96,12
txn0002897,mid00218,pid0281,2022-01-11,3959.08,12
txn0003037,mid00224,pid0055,2022-01-11,4807.28,12
txn0003490,mid00259,pid0674,2022-01-11,12968.75,12
txn0003628,mid00269,pid0522,2022-01-11,4480.85,12
txn0003841,mid00279,pid0330,2022-01-11,5307.30,12
txn0004061,mid00296,pid0455,2022-01-11,9623.08,12
txn0004274,mid00308,pid0495,2022-01-11,5479.83,12
