cluster_id,amount
1,2680.17
7,1639.11
6,5370.69
4,1745.27
4,5579.7
7,1301.47
1,2676.17
6,1770.52
2,693.8
1,791.61
5,644.1
8,1328.81
6,601.01
7,1602.77
6,1543.94
7,1243.48
5,1267.46
2,532.31
7,727.65
4,157.96
5,869.7
3,335.5
2,1107.47
8,452.17
7,103.99
6,11821.64
4,769.26
7,4874.46
5,555.75
4,6424.85
4,279.54
2,1204.28
1,298.41
5,17340.8
8,754.32
1,2468.33
7,1628.86
7,964.81
3,1753.72
6,4425.29
2,2069.43
7,1186.43
6,1756.81
3,8156.27
1,627.35
8,129.12
4,297.03
8,322.36
6,376.38
7,390.88
7,966.85
2,1302.65
3,1287.35
4,444.39
4,2961.02
1,1786.3
5,5650.16
2,2518.55
6,675.54
6,4171.53
8,1340.7
6,2386.96
3,2191.79
8,865.45
4,1111.65
3,858.76
8,388.29
3,93.77
1,462.58
4,1235.32
7,3275.23
2,2381.75
4,729.55
2,469.56
6,814.14
4,339.51
3,96.85
2,181.33
5,4501.72
6,7654.23
8,2274.09
4,930.79
2,214.37
7,831.1
6,1945.01
6,2472.21
1,2116.87
3,3753.8
7,8410.59
7,635.54
4,21716.84
7,107.56
7,421.52
4,1236.45
8,1815.16
3,812.57
2,575.17
6,11190.76
6,545.73
2,323.33
7,6373.53
2,2525.18
7,3308.3
1,1230.85
7,218.42
7,1089.07
7,187.72
6,1295.35
4,2036.0
6,3238.81
3,896.39
7,2259.5
5,367.15
4,2873.52
5,2083.98
5,411.46
1,1778.27
2,3290.17
2,1081.94
1,401.51
4,1206.56
6,1822.01
6,398.21
4,327.53
7,1761.26
5,2454.43
1,10558.99
7,2063.79
5,262.44
6,9355.89
5,3166.83
5,109.31
1,319.48
5,577.83
7,2494.66
3,72.43
5,870.42
1,2342.92
3,43.92
4,2256.19
8,2575.08
2,390.99
3,279.05
4,384.32
8,52.49
7,693.11
1,1263.39
2,259.49
7,2890.7
1,1110.79
7,1320.84
3,637.66
8,2246.99
3,4103.59
4,633.8
6,2291.9
2,2319.79
5,1571.3
5,6277.7
7,446.24
8,624.09
6,422.14
4,2202.89
4,735.29
4,461.59
7,6182.4
3,7262.33
2,691.21
3,220.49
1,7706.88
1,1665.37
1,1576.24
7,1113.76
6,411.43
6,629.79
4,2091.2
6,606.49
2,1597.64
8,1006.97
5,310.26
8,5903.16
2,1907.29
4,1427.55
6,1827.17
4,138.08
4,576.8
2,184.93
4,1138.14
2,1420.13
3,1159.19
6,3628.04
6,191.12
5,411.92
3,1565.22
8,1326.54
1,233.46
3,3700.35
1,5418.34
3,1584.69
8,188.67
3,1182.87
8,1442.85
4,735.81
6,4367.6
4,873.46
3,10046.67
7,2348.26
8,1344.38
3,2731.13
7,5345.3
3,2667.66
6,912.86
7,480.14
4,288.78
6,67.71
3,1201.9
1,647.79
1,687.09
4,3077.1
8,877.19
2,7979.36
4,528.26
6,341.02
2,248.79
6,2197.39
3,3521.47
7,516.03
5,307.85
5,5341.72
2,201.25
4,3014.66
7,529.49
1,1535.8
7,3244.17
4,1675.52
6,717.1
6,4608.73
4,1363.77
3,56997.37
6,152.07
2,149.62
5,2962.2
1,958.22
6,2372.91
6,296.42
1,1053.16
7,1640.98
4,545.62
7,1280.51
1,221.92
2,1531.96
4,4865.83
2,254.34
3,238.0
6,3673.55
2,233.41
6,2501.54
1,1054.56
2,626.65
5,4979.96
7,2754.42
2,1349.77
3,92.95
8,2172.16
8,305.53
5,777.81
4,1000.31
3,7998.47
5,751.02
5,207.46
3,4997.08
1,2204.61
2,2296.8
8,5101.35
4,6604.65
4,372.07
4,214.84
7,2506.68
1,743.44
1,821.43
3,288.92
4,1886.14
6,1544.33
4,836.27
4,215.47
8,3752.08
2,1314.58
5,3393.54
5,98.17
4,1056.28
7,450.97
3,1032.52
8,2800.44
3,1490.61
5,1012.25
5,1006.32
7,178.44
4,366.05
3,3406.42
1,569.02
3,3478.86
7,2462.69
1,2610.05
8,1431.11
5,614.24
2,840.28
3,2007.06
5,95.76
3,3897.75
1,572.42
6,902.43
6,911.03
1,949.74
3,233.92
2,1172.5
6,1907.98
6,104.7
6,237.26
8,2658.33
7,2166.3
3,1378.31
1,468.55
5,2180.2
8,264.23
8,853.15
2,235.77
2,830.31
1,319.44
2,2278.77
5,1597.99
5,529.73
3,3292.26
3,346.56
7,954.5
4,504.56
7,2245.33
8,2013.82
3,4155.35
2,1087.12
8,38.26
6,617.73
3,5551.29
5,694.02
5,120.39
8,1626.63
3,1765.99
8,445.89
8,756.4
2,390.71
2,1763.1
5,1056.02
1,275.24
3,981.91
4,443.05
8,4950.12
8,2652.0
2,867.39
8,1084.82
1,3026.47
6,819.77
7,2285.25
8,5039.82
2,578.26
8,6067.85
1,4405.59
5,1304.29
4,608.93
3,1286.55
1,758.28
7,414.86
3,1782.02
6,321.86
4,683.75
3,693.71
8,221.01
1,2047.39
6,771.88
6,4141.15
4,758.15
3,634.44
1,366.83
8,1035.8
8,1042.26
2,2243.84
1,1068.19
1,9929.94
1,1639.0
7,335.12
8,305.32
2,1786.97
6,323.71
2,1908.99
3,2657.66
5,2729.07
6,381.42
7,2734.27
1,1414.95
2,508.44
3,832.69
3,1666.38
8,473.36
7,1383.05
3,4866.66
8,2865.4
4,1085.92
5,1283.77
4,549.02
2,566.29
8,182.93
1,1307.96
2,2102.22
2,917.89
3,378.02
2,1067.14
1,4341.35
6,2664.52
8,960.62
1,9434.92
3,19314.06
5,585.14
8,757.12
6,2127.42
7,363.48
5,2525.13
4,1109.44
2,1493.39
7,526.9
7,417.18
1,111.72
6,5080.98
1,2795.01
6,2081.19
7,1455.58
2,78.68
4,434.32
1,748.68
5,302.03
8,154.03
1,338.63
4,1047.39
8,1047.69
3,2692.63
2,9599.8
4,2109.78
5,818.03
6,7189.37
3,174.14
8,100.81
5,374.13
3,2424.56
8,1194.42
8,286.82
4,445.95
1,253.25
5,253.24
5,5465.24
2,847.44
6,6950.3
7,372.78
1,1703.15
6,1273.84
2,2611.42
6,1312.91
4,2932.44
1,1825.51
8,298.75
2,2221.61
5,885.89
2,422.25
8,2128.93
6,2734.53
7,582.94
4,674.77
4,215.76
6,136.29
7,760.11
7,2371.46
1,528.16
6,4772.25
1,791.89
3,795.44
7,721.98
3,2921.21
7,345.57
4,861.04
2,543.42
3,535.0
5,1031.4
7,875.98
5,3155.3
8,980.58
7,1827.14
7,1199.94
5,4647.73
3,711.5
4,713.71
1,2251.93
3,700.92
8,1716.82
4,12987.02
1,338.04
6,5349.92
8,577.42
7,4321.88
3,2110.44
4,1920.54
5,840.45
2,753.29
3,448.45
2,999.15
8,810.54
6,1224.29
7,210.25
7,1017.3
8,3979.53
1,2803.02
8,1017.7
1,16624.95
4,525.79
5,902.04
3,201.23
2,636.51
2,7091.1
7,663.79
3,184.82
3,2589.44
8,1522.53
2,2474.29
8,715.69
8,327.72
5,810.79
2,1826.82
2,916.39
3,1520.43
5,549.77
2,1583.84
4,988.99
1,456.48
5,1157.42
1,648.48
6,1956.44
1,2592.75
2,1722.77
2,164.27
7,343.35
1,492.63
4,413.25
5,546.14
5,2745.65
6,2139.91
7,622.51
4,1902.59
7,1424.71
3,957.05
8,3508.86
5,479.42
6,1051.57
8,312.33
7,329.24
7,222.11
5,335.48
1,1087.25
4,711.42
2,737.41
8,714.03
2,6974.51
2,284.04
2,252.52
6,391.52
5,916.82
8,1748.04
4,1959.5
3,2804.84
1,880.89
1,641.65
3,5983.77
8,46.4
5,1063.2
8,1592.42
1,7793.56
1,159.71
7,625.06
1,222.88
1,137.26
4,792.36
8,2480.97
6,3738.97
1,552.77
7,2065.61
7,798.32
7,1830.29
8,3533.07
2,801.39
8,3244.35
3,261.3
7,2042.97
5,3093.44
7,2760.67
6,269.48
6,791.25
5,1383.53
7,1615.43
6,1127.17
2,4779.57
7,238.6
5,761.83
3,155.0
5,1965.25
8,1826.36
7,39476.61
7,3068.66
4,1428.67
7,1313.41
4,700.45
6,1145.43
6,1344.63
2,114.29
3,1232.26
1,1108.89
2,6832.29
4,858.48
4,427.48
2,1333.26
4,1076.84
5,859.49
2,243.01
3,835.79
3,524.73
5,782.01
3,2220.24
6,472.5
3,777.94
4,1799.61
4,737.79
2,17502.6
6,1304.73
2,253.13
3,394.16
7,352.86
8,400.4
6,1791.26
8,293.78
7,689.3
4,3487.78
7,560.18
3,2076.91
4,155.82
5,660.06
8,374.45
7,1379.87
4,317.9
6,9668.44
2,163.48
7,3461.16
5,2607.39
5,1395.28
7,1053.5
6,7634.67
1,15033.86
3,789.98
2,1180.33
6,540.43
1,274.18
2,1651.47
5,1305.82
6,168.81
5,1638.61
7,1354.86
8,512.16
2,476.67
8,1581.55
5,5824.16
6,1538.0
1,2341.47
5,397.26
6,629.11
5,1936.85
1,222.7
5,1246.28
8,1707.47
6,951.09
2,1409.95
8,1057.44
8,500.51
2,271.53
7,898.44
4,4167.02
5,3061.99
4,678.67
7,663.34
8,611.75
