CUSTOMER_ID,CLIENT_NAME,VERTICAL
b638e3672b2628e1339555aa4a542b5e,Mostly Cosmic Leech,Energy
b6576e9bf3e444b45259becf3b7e9308,Clever Walrus,Aerospace
b71a6c640d433f21f2ae179b1095e338,Merely Fun Chow,Automotive
b7cc6c00a23fcb5a0e12332a6ec2cb0b,Mildly Nice Goose,Overseas Agent Partner
b87007b4a8407d5909106cb194d0338a,Humbly Barely Fun Hen,Automotive
b8eea044eb3255e623ad2539754b1aa0,First Cicada,Government
b91d2969fe4e7c00cbafe68a03d45e60,Bold Aphid,Industrial
b93c400f6e4f9db9034f5544050a6ce6,Widely Tight Robin,Energy
bb3505d5cefb2bf25f60935403a6c146,Alert Wasp,Industrial
bb4a30af0f441d76b4f144087be87836,Openly Moving Swine,Life Science
bb5aa9b72052a7d65769dc8490717fdb,Deadly Moved Elk,HiTech
bc2130fbe536f6ac757629071db2faf8,Solid Slug,Retail
bd58925e0168eb52aa1cad3eee0394ca,Mature Eagle,Life Science
bd9d7ace62a6ed2123619721f44be564,Nicely Pumped Bedbug,Energy
bdeef3d458c4b48b87515e2eaaf8144a,Social Caiman,Retail
bf3be24bb9d861085f42c140248fbec7,Mostly Lately Key Racer,Aerospace
bfb547554c043358e186b61d0488cb64,Civil Ibex,Life Science
c099ad01787fe10b27127466e4b8f138,Boss Cub,Industrial
c0c17471e74cbb12e5e8b2c691d2c3c4,Truly Highly Prompt Bengal,Industrial
61c3e2f28f60c7fd7f879dd19e9a22ff,Loudly Steady Bee,Industrial
61ed6f556d6ada400fb90028728276e6,Duly Namely Wise Trout,Industrial
62ee514ecc461f67bf1bbb4ea1ca39c0,Deeply Ace Oryx,Industrial
649bc6f5d2f053b0df375dcaaa28c524,Jolly Square Boar,Industrial
6602f3717eb0219f621ba9fd012c2c63,Better Moray,Industrial
67149877451413154dc48fb77fa5fa36,Decent Joey,Industrial
67bdfb42be65d106dd5d29c308839502,Lovely Next Whale,Retail
68c19932eafd1e85f1b10c852e3ff2ac,Merely Viable Tapir,Energy
694d1614acd7a2bc65ca226f2d4854f6,Jolly Lively Modern Finch,Industrial
6aefbfa0a6d7e6bbc4c41f8822fccc3e,Up Elf,Industrial
6b8e6297745a36a6d21fd2f467df3cfd,Jolly Yearly Frank Gibbon,Retail
6bad3ca5ed1d2938d05519d1b1f1a28e,Caring Swan,Automotive
6d4887af5fe01c217c96c7279c14d52d,Rarely Tight Drum,Energy
6ff02024d826ba52ae8617491f4d0d12,Firmly Surely Native Puma,Industrial
702bcb433602f1d96ff527cb3fbed3b4,Highly Yearly Superb Seal,Industrial
704f621b96572f5bf5239f47a2471283,Vastly Safely Intent Kit,Retail
72c6d0d6959bc720bd5c4b1a162e7c1c,Neatly Funny Panda,"Cruise, Marine and Hospitality"
73cf6ec995b1f90443d8d4e619a23a43,Mature Koala,Retail
740e3b25a5e2fb4793b241930d712144,Brave Newt,Industrial
745b0a4c207e30221edcd60044e20c91,Joint Alpaca,Industrial
750e870379739c779fbfc0938f8e7d06,Rested Oriole,Industrial
765727dee982cf6659fdfb29ec6bf6f9,Newly Polite Fowl,Industrial
769c1cc9fb2bfd3b05babc8aadbdd32c,Neat Minnow,Industrial
77272b777a9f0c0d6f94e0fa1be5d3ad,Weekly Enough Cicada,Industrial
774bc8a646046f1def5a255c8518a6dd,Kindly Awake Yak,Doc Turnover
774ef8b50e793362c779f56a5a53a997,Loudly Newly Fun Lynx,Industrial
777a32221072eee8fcdef5ddcb08372f,Only Nearby Joey,Retail
77c3a33bc334e00c4d57536653ccfc78,New Tarpon,Energy
79425abe5f077b561f819b3fd040480e,Fairly Mainly Funny Cow,Doc Turnover
7a52843942a56b535dca208713210836,Alive Raven,Overseas Agent Partner
7c096da194aa580c6018d5e1ae31b3bf,One Dingo,Industrial
7c2bcc5f11c98d67f1b982bf6195e494,Truly Lively Moved Mullet,HiTech
7c9491d655fffe982d42dae617a119b0,Fairly Namely Warm Mullet,Retail
7e86d87b9b8b122e5da88166fa980f43,Secure Mammal,Automotive
7f3de7a63de3ffdbfcb5831d72b9d3e0,Widely Unduly Epic Wolf,Energy
7fa04a4647b618451009c6252f1ce581,Hardly Newly Clean Stud,Industrial
7fc6d1f50376a9934a33a721a0ba9040,Solely Vastly Real Boa,Automotive
3fd4fbad1b832c692e2b01b6b4fa1921,Partly Usable Marlin,Industrial
40140f15a7dd883a024619a6fc7e5a24,Tidy Corgi,Energy
413b0b8a7e54936a1334e28b2bf94a2e,Moral Insect,Retail
4169d9d0ef08ebe59448cac82bceae52,Ruling Cod,Industrial
42b3f3e4b8921159519121015b23cd82,Unduly Really Happy Yak,Aerospace
4321981f7a85cdc4243137aca10fa98a,Daily Suited Fox,Industrial
439df06fff85e7feb7adadb624311ecb,Smart Leech,Industrial
440a0c4c08af78bc1e2d18d3c55836e3,Light Hound,Industrial
444fa7f3e7ae31b0a525342276caa04b,Deeply Solely Worthy Dodo,Automotive
4462f97e3052df931cbbc6fc593a9e47,Expert Newt,Industrial
4611533cf79a859f08304d42938df415,Rich Lab,Industrial
464e241594a8ec267110e73453c859d2,Gladly Mostly Social Roughy,Industrial
4698d167ae84545851f41b721b8f47cc,Yearly Safely Sought Badger,Industrial
