merchant_id,segment,converted_from,onboarding_channel,conversion_month,churn_month
M10001,regular,Check,outreach,2023-01-01,
M10002,regular,ACH,integrated,2023-01-01,2024-03-01
M10003,occasional,Check,organic,2023-01-01,2023-08-01
M10004,regular,Check,integrated,2023-01-01,2025-08-01
M10005,regular,ACH,outreach,2023-01-01,2023-03-01
M10006,high_frequency,ACH,organic,2023-01-01,2023-07-01
M10007,high_frequency,Check,integrated,2023-01-01,2024-02-01
M10008,occasional,Check,integrated,2023-01-01,2024-08-01
M10009,high_frequency,Check,organic,2023-01-01,2023-01-01
M10010,regular,ACH,outreach,2023-01-01,
M10011,occasional,Check,outreach,2023-01-01,
M10012,regular,ACH,outreach,2023-01-01,2023-03-01
M10013,occasional,Check,outreach,2023-01-01,
M10014,regular,Check,integrated,2023-01-01,2023-05-01
M10015,occasional,ACH,outreach,2023-01-01,
M10016,regular,Check,outreach,2023-01-01,2023-02-01
M10017,high_frequency,Check,integrated,2023-01-01,
M10018,high_frequency,ACH,outreach,2023-01-01,2023-08-01
M10019,regular,Check,organic,2023-01-01,
M10020,regular,Check,integrated,2023-01-01,2023-09-01
M10021,occasional,ACH,organic,2023-01-01,
M10022,high_frequency,Check,integrated,2023-01-01,2023-02-01
M10023,occasional,Check,organic,2023-01-01,
M10024,occasional,Check,integrated,2023-01-01,
M10025,occasional,ACH,organic,2023-01-01,2024-02-01
M10026,occasional,ACH,organic,2023-01-01,
M10027,occasional,Check,integrated,2023-01-01,
M10028,regular,Check,integrated,2023-01-01,2025-08-01
M10029,regular,Check,organic,2023-01-01,2023-10-01
M10030,occasional,ACH,integrated,2023-01-01,2023-05-01
M10031,occasional,ACH,integrated,2023-01-01,
M10032,regular,ACH,outreach,2023-01-01,2023-02-01
M10033,occasional,ACH,integrated,2023-01-01,2025-07-01
M10034,occasional,Check,organic,2023-01-01,
M10035,regular,Check,organic,2023-01-01,2023-02-01
M10036,high_frequency,ACH,outreach,2023-01-01,2023-01-01
M10037,regular,Check,outreach,2023-01-01,2023-05-01
M10038,occasional,ACH,outreach,2023-01-01,2025-02-01
M10039,regular,Check,outreach,2023-01-01,2023-01-01
M10040,regular,Check,outreach,2023-01-01,2023-11-01
M10041,high_frequency,ACH,integrated,2023-01-01,2023-02-01
M10042,occasional,Check,organic,2023-01-01,
M10043,occasional,Check,integrated,2023-01-01,
M10044,regular,Check,outreach,2023-01-01,2025-06-01
M10045,occasional,Check,outreach,2023-01-01,
M10046,occasional,Check,organic,2023-01-01,
M10047,occasional,ACH,organic,2023-01-01,2024-02-01
M10048,occasional,ACH,outreach,2023-01-01,2025-03-01
M10049,regular,Check,integrated,2023-01-01,
M10050,regular,Check,outreach,2023-01-01,2023-05-01
M10051,occasional,Check,integrated,2023-01-01,
M10052,high_frequency,Check,outreach,2023-01-01,2023-03-01
