merchant_id,month,payments,volume
M10001,2023-01-01,3,7751.13
M10002,2023-01-01,1,3163.25
M10005,2023-01-01,1,5017.97
M10006,2023-01-01,2,14799.48
M10007,2023-01-01,7,48574.95
M10010,2023-01-01,1,1807.38
M10012,2023-01-01,1,5458.32
M10014,2023-01-01,1,3608.48
M10015,2023-01-01,3,1995.25
M10016,2023-01-01,2,5934.7
M10017,2023-01-01,2,22481.41
M10018,2023-01-01,4,41782.17
M10019,2023-01-01,3,9309.71
M10020,2023-01-01,3,7355.5
M10022,2023-01-01,5,44754.66
M10023,2023-01-01,1,1487.66
M10024,2023-01-01,1,923.8
M10028,2023-01-01,1,1330.09
M10030,2023-01-01,1,885.31
M10032,2023-01-01,2,6499.19
M10035,2023-01-01,1,1338.39
M10037,2023-01-01,2,4912.85
M10041,2023-01-01,1,4248.51
M10043,2023-01-01,1,712.42
M10045,2023-01-01,1,898.4
M10047,2023-01-01,1,1670.69
M10049,2023-01-01,1,2630.83
M10050,2023-01-01,3,9548.77
M10052,2023-01-01,5,45425.66
M10053,2023-01-01,3,5885.3
M10054,2023-01-01,1,3870.04
M10001,2023-02-01,2,8751.29
M10002,2023-02-01,1,3426.93
M10004,2023-02-01,1,2241.58
M10005,2023-02-01,1,2541.19
M10006,2023-02-01,7,55390.9
M10007,2023-02-01,5,43464.83
M10008,2023-02-01,1,1091.78
M10010,2023-02-01,1,3688.66
M10011,2023-02-01,1,527.78
M10013,2023-02-01,2,1353.72
M10017,2023-02-01,7,51639.42
M10018,2023-02-01,2,9962.38
M10019,2023-02-01,1,2140.61
M10025,2023-02-01,2,981.1
M10026,2023-02-01,2,1044.28
M10028,2023-02-01,1,2829.78
M10030,2023-02-01,1,851.43
M10040,2023-02-01,1,3189.94
M10042,2023-02-01,1,885.15
M10044,2023-02-01,1,2997.32
M10045,2023-02-01,1,1469.97
M10046,2023-02-01,1,416.28
M10047,2023-02-01,2,2821.26
M10048,2023-02-01,1,324.81
M10049,2023-02-01,2,6924.37
M10050,2023-02-01,1,4472.88
M10051,2023-02-01,1,460.11
M10052,2023-02-01,7,72547.4
M10054,2023-02-01,3,7392.38
M10056,2023-02-01,1,946.26
M10058,2023-02-01,2,2090.3
M10061,2023-02-01,2,1439.31
M10063,2023-02-01,2,4684.44
M10064,2023-02-01,4,18248.35
M10065,2023-02-01,2,5301.6
M10068,2023-02-01,4,17738.52
M10070,2023-02-01,1,352.42
M10071,2023-02-01,2,22612.53
M10073,2023-02-01,5,63370.89
M10075,2023-02-01,1,3423.06
M10076,2023-02-01,4,29439.71
M10077,2023-02-01,6,43686.89
M10078,2023-02-01,1,802.61
M10079,2023-02-01,1,341.08
M10080,2023-02-01,5,27888.72
M10081,2023-02-01,5,35441.56
M10082,2023-02-01,1,1879.72
M10085,2023-02-01,1,382.2
M10086,2023-02-01,8,56903.22
M10088,2023-02-01,1,674.89
M10089,2023-02-01,4,31476.42
M10090,2023-02-01,1,1542.02
M10092,2023-02-01,4,40972.91
M10093,2023-02-01,3,5123.74
M10094,2023-02-01,3,19302.24
M10096,2023-02-01,1,925.94
M10098,2023-02-01,2,1194.25
M10099,2023-02-01,6,39760.88
M10103,2023-02-01,2,5782.86
M10107,2023-02-01,1,4769.64
M10108,2023-02-01,1,823.59
M10109,2023-02-01,1,1113.31
M10110,2023-02-01,2,9191.36
M10001,2023-03-01,1,4303.98
M10003,2023-03-01,2,1162.92
M10004,2023-03-01,5,17420.23
M10006,2023-03-01,3,14939.34
M10007,2023-03-01,8,94593.39
M10010,2023-03-01,2,2744.29
M10011,2023-03-01,1,556.37
M10015,2023-03-01,1,1093.23
M10017,2023-03-01,1,9512.93
M10018,2023-03-01,3,28328.37
M10019,2023-03-01,1,2735.06
M10029,2023-03-01,1,1485.1
M10037,2023-03-01,1,6074.53
M10040,2023-03-01,1,2894.16
M10044,2023-03-01,1,5572.23
M10046,2023-03-01,1,739.12
M10049,2023-03-01,1,6158.4
M10050,2023-03-01,2,6061.83
M10054,2023-03-01,2,8746.4
M10058,2023-03-01,1,568.59
M10059,2023-03-01,1,1239.44
M10060,2023-03-01,1,1043.41
M10061,2023-03-01,1,1260.79
M10062,2023-03-01,3,11151.71
M10064,2023-03-01,2,6091.5
M10066,2023-03-01,1,833.09
M10067,2023-03-01,3,7543.1
M10068,2023-03-01,4,29137.58
M10069,2023-03-01,1,924.66
M10070,2023-03-01,1,594.47
M10072,2023-03-01,1,3183.5
M10073,2023-03-01,7,60372.89
M10074,2023-03-01,1,737.13
M10076,2023-03-01,9,49814.74
M10077,2023-03-01,4,26329.85
M10080,2023-03-01,4,41972.99
M10081,2023-03-01,2,29183.88
M10082,2023-03-01,1,3720.93
M10084,2023-03-01,1,593.59
M10086,2023-03-01,1,9169.17
M10089,2023-03-01,6,50660.73
M10092,2023-03-01,3,24630.3
M10093,2023-03-01,1,2274.63
